N pseudo_result pseudo_error_estimate pseudo_error_actual
50 6.24 0.468666192508058 0.043185307179586
550 5.87636363636364 0.150630550469637 0.40682167081595
1050 6.39238095238095 0.0989300540722962 0.109195645201366
1550 6.23483870967742 0.08426339633794 0.0483465975021673
2050 6.28682926829268 0.0724835116580516 0.00364396111309695
2550 6.38117647058824 0.0636473082649942 0.0979911634086488
3050 6.17704918032787 0.0607614439505998 0.106136126851718
3550 6.30760563380282 0.0548363923542954 0.0244203266232308
4050 6.27753086419753 0.0516704972597376 0.00565444298205531
4550 6.33142857142857 0.0481856319297295 0.0482432642489856
5050 6.24792079207921 0.0465584953325522 0.0352645151003781
5550 6.24864864864865 0.0444051357611873 0.0345366585309375
6050 6.30611570247934 0.0420189456812244 0.0229303952997526
6550 6.1581679389313 0.041613105590069 0.125017368248288
7050 6.31829787234043 0.0388221896319085 0.0351125651608397
7550 6.27708609271523 0.0378475137212803 0.00609921446435457
8050 6.3383850931677 0.0361706705866725 0.0551997859881155
8550 6.28304093567251 0.0355207279672973 0.000144371507071916
9050 6.35049723756906 0.0340217069741405 0.0673119303894749
9550 6.31455497382199 0.0333831246724435 0.0313696666424033
10050 6.241592039801 0.033046424644749 0.041593267378591
10550 6.22255924170616 0.0323784353036326 0.060626065473425
11050 6.28199095022624 0.0312521742998672 0.00119435695334147
11550 6.33004329004329 0.0302527566867047 0.0468579828637035
12050 6.26854771784232 0.0300120186877782 0.014637589337263
12550 6.27760956175299 0.0293522292388797 0.00557574542659811
13050 6.30068965517241 0.0286434376757352 0.0175043479928272
13550 6.31025830258303 0.0280520162272998 0.0270729954034392
14050 6.34761565836299 0.0273226415575132 0.064430351183403
14550 6.25374570446735 0.0273963279195829 0.0294396027122321
15050 6.27242524916944 0.0268329190977202 0.0107600580101508
15550 6.26829581993569 0.0264208264257589 0.0148894872438952
16050 6.23651090342679 0.0261769904179772 0.0466744037527951
16550 6.25063444108761 0.025704155344403 0.0325508660919729
17050 6.27988269794721 0.0251705442563011 0.0033026092323718
17550 6.32296296296296 0.0245806342979623 0.0397776557833769
18050 6.28609418282548 0.0244312290358528 0.00290887564589859
18550 6.29951482479784 0.0240307883945662 0.0163295176182574
19050 6.25637795275591 0.0239298609120746 0.0268073544236804
19550 6.26332480818414 0.023587851583717 0.0198604989954427
20050 6.29147132169576 0.0231542148415784 0.00828601451617406
20550 6.28554744525547 0.0228996253387749 0.00236213807588825
21050 6.31220902612827 0.0224969667203108 0.0290237189486797
21550 6.30793503480278 0.0222550454407496 0.024749727623198
22050 6.27845804988662 0.0221401728172281 0.00472725729296464
22550 6.27441241685144 0.0219119869776103 0.00877289032814499
23050 6.29622559652928 0.0215730087745176 0.0130402893496981
23550 6.24985138004246 0.021551467817383 0.0333339271371234
24050 6.25929313929314 0.0212847192322559 0.023892167886447
24550 6.23087576374745 0.0211898539748515 0.0523095434321323
25050 6.31249500998004 0.0206214496285574 0.0293097028004539
25550 6.31452054794521 0.0204096928673823 0.0313352407656193
26050 6.29282149712092 0.0203075863800009 0.00963618994133508
26550 6.32286252354049 0.0199852202421056 0.0396772163609036
27050 6.29293900184843 0.0199281804144846 0.00975369466884235
27550 6.29720508166969 0.0197285101562565 0.0140197744901052
28050 6.27793226381462 0.0196321107344192 0.00525304336496912
28550 6.31201401050788 0.0193181413565498 0.028828703328295
29050 6.28736660929432 0.0192527835077081 0.00418130211473411
29550 6.29901861252115 0.019041777401506 0.0158333053415642
30050 6.27434276206323 0.0189818768112172 0.00884254511635785
30550 6.31070376432079 0.0186804010947046 0.0275184571411993
31050 6.27529790660225 0.0186699612656857 0.0078874005773315
31550 6.33559429477021 0.0182819954126297 0.0524089875906197
32050 6.26221528861154 0.0184267170103826 0.0209700185680415
32550 6.27588325652842 0.0182324598728606 0.00730205065116873
33050 6.29180030257186 0.0180331275029602 0.00861499539227495
33550 6.25812220566319 0.0180253870518589 0.0250631015163973
34050 6.31400881057269 0.0176816049867441 0.0308235033931012
34550 6.27149059334298 0.0177132085298304 0.0116947138366053
35050 6.29683309557775 0.0174922503574994 0.0136477883981598
35550 6.2645288326301 0.0174877165378988 0.0186564745494877
36050 6.31411927877947 0.0171837196469151 0.0309339715998869
36550 6.27567715458276 0.0172066330607973 0.0075081525968228
37050 6.30887989203779 0.0169695079752347 0.0256945848582006
37550 6.30753661784288 0.0168610478208471 0.02435131066329
38050 6.24231274638633 0.0169811161620071 0.0408725607932521
38550 6.27590142671855 0.0167535525364149 0.00728388046103845
39050 6.2842509603073 0.0166166366429806 0.00106565312771245
39550 6.28409608091024 0.0165118086642443 0.000910773730653958
40050 6.31370786516854 0.0163044963771896 0.0305225579889532
40550 6.28498150431566 0.0163038802466105 0.00179619713607337
41050 6.28306942752741 0.016210847324825 0.000115879652180517
41550 6.27465703971119 0.0161416230294194 0.00852826746839508
42050 6.2907966706302 0.0159906710420935 0.00761136345061608
42550 6.30223266745006 0.0158575657395798 0.0190473602704726
43050 6.28292682926829 0.0158302883010242 0.000258477911293298
43550 6.29566016073479 0.0156965662229699 0.0124748535552017
44050 6.26851305334847 0.0156970818132739 0.0146722538311188
44550 6.2845342312009 0.0155562073070327 0.00134892402131204
45050 6.2742730299667 0.0155031643937295 0.00891227721288246
45550 6.27653128430296 0.0154105223803382 0.00665402287662253
46050 6.28673181324647 0.0152936210572978 0.00354650606688534
46550 6.28279269602578 0.0152239688251055 0.000392611153807287
47050 6.28131774707758 0.0151475838057198 0.00186756010200906
47550 6.27028391167192 0.015102740303576 0.0129013955076616
48050 6.2887825182102 0.0149654298717168 0.0055972110306115
48550 6.28152420185376 0.0149110975588309 0.00166110532582753
49050 6.27359836901121 0.0148596906717102 0.00958693816837286
49550 6.27374369323915 0.0147840763175169 0.0094416139404343
